% r                      z
0.0025565112             8.537459E-13             
0.0025601117             8.60973E-13              
0.0025637127             8.6829323E-13            
0.0025673134             8.75707E-13              
0.002570914              8.8321684E-13            
0.0025745148             8.908248E-13             
0.0025781156             8.985328E-13             
0.0025817163             9.0634303E-13            
0.002585317              9.142575E-13             
0.0025889177             9.222783E-13             
0.0025925185             9.304077E-13             
0.0025961192             9.386476E-13             
0.0025997197             9.469997E-13             
0.0026033206             9.554679E-13             
0.0026069211             9.640522E-13             
0.002610522              9.727569E-13             
0.0026141226             9.815822E-13             
0.0026177235             9.905325E-13             
0.002621324              9.99608E-13              
0.002624925              1.0088129E-12            
0.0026285255             1.0181476E-12            
0.0026321264             1.0276167E-12            
0.002635727              1.03722E-12              
0.0026393277             1.046962E-12             
0.0026429284             1.0568443E-12            
0.002646529              1.0668694E-12            
0.0026501298             1.0770397E-12            
0.0026537306             1.0873577E-12            
0.0026573315             1.0978267E-12            
0.002660932              1.108447E-12             
0.002664533              1.119224E-12             
0.0026681335             1.1301574E-12            
0.0026717344             1.1412527E-12            
0.002675335              1.1525094E-12            
0.0026789359             1.1639333E-12            
0.0026825364             1.1755241E-12            
0.002686137              1.1872865E-12            
0.0026897378             1.1992225E-12            
0.0026933386             1.2113349E-12            
0.0026969393             1.2236262E-12            
0.00270054               1.2360994E-12            
0.0027041407             1.2487573E-12            
0.0027077415             1.2616024E-12            
0.0027113422             1.2746377E-12            
0.002714943              1.2878661E-12            
0.0027185436             1.3012902E-12            
0.0027221444             1.3149132E-12            
0.0027257449             1.3287368E-12            
0.0027293458             1.3427668E-12            
0.0027329463             1.3570025E-12            
0.0027365473             1.3714504E-12            
0.0027401478             1.3861098E-12            
0.0027437487             1.4009876E-12            
0.0027473492             1.4160829E-12            
0.0027509502             1.4314025E-12            
0.0027545507             1.4469456E-12            
0.0027581516             1.4627195E-12            
0.002761752              1.478723E-12             
0.002765353              1.4949633E-12            
0.0027689538             1.5114407E-12            
0.0027725543             1.528158E-12             
0.0027761552             1.545122E-12             
